"year","mm-dd","location","parameter","unit","datatype","value"
2023,"9-10","FPT","flow","CFS","Flow",18740.375
2023,"9-11","FPT","flow","CFS","Flow",18654.625
2023,"9-12","FPT","flow","CFS","Flow",18744.25
2023,"9-13","FPT","flow","CFS","Flow",18199.083
2023,"9-14","FPT","flow","CFS","Flow",18140
2023,"9-15","FPT","flow","CFS","Flow",18396.958
2023,"9-16","FPT","flow","CFS","Flow",18770.083
2023,"9-17","FPT","flow","CFS","Flow",18989.333
2023,"9-18","FPT","flow","CFS","Flow",19032.292
2023,"9-19","FPT","flow","CFS","Flow",18838.5
2023,"9-20","FPT","flow","CFS","Flow",18272.417
2023,"9-21","FPT","flow","CFS","Flow",18292.75
2023,"9-22","FPT","flow","CFS","Flow",18765.292
2023,"9-23","FPT","flow","CFS","Flow",18541.042
2023,"9-24","FPT","flow","CFS","Flow",18490.542
2023,"9-25","FPT","flow","CFS","Flow",18326.792
2023,"9-26","FPT","flow","CFS","Flow",17840.333
2023,"9-27","FPT","flow","CFS","Flow",17238.792
2023,"9-28","FPT","flow","CFS","Flow",17078.042
2023,"9-29","FPT","flow","CFS","Flow",16815.167
2023,"9-30","FPT","flow","CFS","Flow",16941.667
2023,"10-1","FPT","flow","CFS","Flow",16951.417
2023,"10-2","FPT","flow","CFS","Flow",16677.583
2023,"10-3","FPT","flow","CFS","Flow",16580.792
2023,"10-4","FPT","flow","CFS","Flow",15893.25
2023,"10-5","FPT","flow","CFS","Flow",15297.667
2023,"10-6","FPT","flow","CFS","Flow",14706.958
2023,"10-7","FPT","flow","CFS","Flow",13771.625
2023,"10-8","FPT","flow","CFS","Flow",12902.417
2023,"10-9","FPT","flow","CFS","Flow",12354.792
2023,"10-10","FPT","flow","CFS","Flow",12320.75
2023,"10-11","FPT","flow","CFS","Flow",12429.625
2023,"10-12","FPT","flow","CFS","Flow",12193.667
2023,"10-13","FPT","flow","CFS","Flow",11874.292
2023,"10-14","FPT","flow","CFS","Flow",11394.833
2023,"10-15","FPT","flow","CFS","Flow",10776.708
2023,"10-16","FPT","flow","CFS","Flow",10416.583
2023,"10-17","FPT","flow","CFS","Flow",10592.417
2023,"10-18","FPT","flow","CFS","Flow",10326.542
2023,"10-19","FPT","flow","CFS","Flow",10118.792
2023,"10-20","FPT","flow","CFS","Flow",9719.208
2023,"10-21","FPT","flow","CFS","Flow",10030.208
2023,"10-22","FPT","flow","CFS","Flow",10516.208
2023,"10-23","FPT","flow","CFS","Flow",10895.125
2023,"10-24","FPT","flow","CFS","Flow",11106.917
2023,"10-25","FPT","flow","CFS","Flow",10284.458
2023,"10-26","FPT","flow","CFS","Flow",10749.125
2023,"10-27","FPT","flow","CFS","Flow",10529.625
2023,"10-28","FPT","flow","CFS","Flow",10535.583
2023,"10-29","FPT","flow","CFS","Flow",10347.75
2023,"10-30","FPT","flow","CFS","Flow",10397.083
2023,"10-31","FPT","flow","CFS","Flow",10258.833
2023,"11-1","FPT","flow","CFS","Flow",9770.792
2023,"11-2","FPT","flow","CFS","Flow",9722.25
2023,"11-3","FPT","flow","CFS","Flow",9646.833
2023,"11-4","FPT","flow","CFS","Flow",9118.333
2023,"11-5","FPT","flow","CFS","Flow",8898.333
2023,"11-6","FPT","flow","CFS","Flow",8637.792
2023,"11-7","FPT","flow","CFS","Flow",8627.125
2023,"11-8","FPT","flow","CFS","Flow",8183.375
2023,"11-9","FPT","flow","CFS","Flow",7731.542
2023,"11-10","FPT","flow","CFS","Flow",8127.292
2023,"11-11","FPT","flow","CFS","Flow",7857.5
2023,"11-12","FPT","flow","CFS","Flow",7706.792
2023,"11-13","FPT","flow","CFS","Flow",7843.75
2023,"11-14","FPT","flow","CFS","Flow",7975.917
2023,"11-15","FPT","flow","CFS","Flow",7992.917
2023,"11-16","FPT","flow","CFS","Flow",7981.583
2023,"11-17","FPT","flow","CFS","Flow",7810.542
2023,"11-18","FPT","flow","CFS","Flow",7301.083
2023,"11-19","FPT","flow","CFS","Flow",9166.583
2023,"11-20","FPT","flow","CFS","Flow",8918.167
2023,"11-21","FPT","flow","CFS","Flow",9402.583
2023,"11-22","FPT","flow","CFS","Flow",9312.833
2023,"11-23","FPT","flow","CFS","Flow",8670.958
2023,"11-24","FPT","flow","CFS","Flow",8514.708
2023,"11-25","FPT","flow","CFS","Flow",8521.167
2023,"11-26","FPT","flow","CFS","Flow",8307.542
2023,"11-27","FPT","flow","CFS","Flow",8303.292
2023,"11-28","FPT","flow","CFS","Flow",8231.292
2023,"11-29","FPT","flow","CFS","Flow",8222.958
2023,"11-30","FPT","flow","CFS","Flow",8339.958
2023,"12-1","FPT","flow","CFS","Flow",9155.625
2023,"12-2","FPT","flow","CFS","Flow",9379.5
2023,"12-3","FPT","flow","CFS","Flow",9361.333
2023,"12-4","FPT","flow","CFS","Flow",9613.25
2023,"12-5","FPT","flow","CFS","Flow",10007.125
2023,"12-6","FPT","flow","CFS","Flow",9837.25
2023,"12-7","FPT","flow","CFS","Flow",10985.792
2023,"12-8","FPT","flow","CFS","Flow",10627.125
2023,"12-9","FPT","flow","CFS","Flow",10131.5
2023,"12-10","FPT","flow","CFS","Flow",10031.833
2023,"12-11","FPT","flow","CFS","Flow",9804.167
2023,"12-12","FPT","flow","CFS","Flow",9713.583
2023,"12-13","FPT","flow","CFS","Flow",10059.708
2023,"12-14","FPT","flow","CFS","Flow",10074.833
2023,"12-15","FPT","flow","CFS","Flow",9836.25
2023,"12-16","FPT","flow","CFS","Flow",10031.875
2023,"12-17","FPT","flow","CFS","Flow",10479.75
2023,"12-18","FPT","flow","CFS","Flow",11252.5
2023,"12-19","FPT","flow","CFS","Flow",13054.083
2023,"12-20","FPT","flow","CFS","Flow",14682.75
2023,"12-21","FPT","flow","CFS","Flow",17184.083
2023,"12-22","FPT","flow","CFS","Flow",19478.792
2023,"12-23","FPT","flow","CFS","Flow",20007.5
2023,"12-24","FPT","flow","CFS","Flow",18764.208
2023,"12-25","FPT","flow","CFS","Flow",17271.208
2023,"12-26","FPT","flow","CFS","Flow",15926.458
2023,"12-27","FPT","flow","CFS","Flow",14602.042
2023,"12-28","FPT","flow","CFS","Flow",14868.458
2023,"12-29","FPT","flow","CFS","Flow",14547.458
2023,"12-30","FPT","flow","CFS","Flow",16871.833
2023,"12-31","FPT","flow","CFS","Flow",19173
2024,"1-1","FPT","flow","CFS","Flow",23001.458
2024,"1-2","FPT","flow","CFS","Flow",23804.792
2024,"1-3","FPT","flow","CFS","Flow",22391.5
2024,"1-4","FPT","flow","CFS","Flow",20946.792
2024,"1-5","FPT","flow","CFS","Flow",21032.333
2024,"1-6","FPT","flow","CFS","Flow",21199.958
2024,"1-7","FPT","flow","CFS","Flow",19955.375
2024,"1-8","FPT","flow","CFS","Flow",18199
2024,"1-9","FPT","flow","CFS","Flow",17227.708
2024,"1-10","FPT","flow","CFS","Flow",16472.042
2024,"1-11","FPT","flow","CFS","Flow",16797.25
2024,"1-12","FPT","flow","CFS","Flow",16418.417
2024,"1-13","FPT","flow","CFS","Flow",16190.25
2024,"1-14","FPT","flow","CFS","Flow",16720.792
2024,"1-15","FPT","flow","CFS","Flow",17905.375
2024,"1-16","FPT","flow","CFS","Flow",24017.917
2024,"1-17","FPT","flow","CFS","Flow",25515.917
2024,"1-18","FPT","flow","CFS","Flow",23516
2024,"1-19","FPT","flow","CFS","Flow",24580.125
2024,"1-20","FPT","flow","CFS","Flow",25300.792
2024,"1-21","FPT","flow","CFS","Flow",25381.292
