"year","mm-dd","location","parameter","unit","datatype","value"
2023,"9-30","VNS","flow","CFS","Flow",1583.917
2023,"10-1","VNS","flow","CFS","Flow",1680.583
2023,"10-2","VNS","flow","CFS","Flow",1713.833
2023,"10-3","VNS","flow","CFS","Flow",1656.12
2023,"10-4","VNS","flow","CFS","Flow",1480.32
2023,"10-5","VNS","flow","CFS","Flow",1497.4
2023,"10-6","VNS","flow","CFS","Flow",1802.32
2023,"10-7","VNS","flow","CFS","Flow",2516.28
2023,"10-8","VNS","flow","CFS","Flow",2720.84
2023,"10-9","VNS","flow","CFS","Flow",2628
2023,"10-10","VNS","flow","CFS","Flow",2104.28
2023,"10-11","VNS","flow","CFS","Flow",1636.56
2023,"10-12","VNS","flow","CFS","Flow",1490.12
2023,"10-13","VNS","flow","CFS","Flow",1790.24
2023,"10-14","VNS","flow","CFS","Flow",2854.72
2023,"10-15","VNS","flow","CFS","Flow",3220.08
2023,"10-16","VNS","flow","CFS","Flow",2836.84
2023,"10-17","VNS","flow","CFS","Flow",2233.56
2023,"10-18","VNS","flow","CFS","Flow",1769.64
2023,"10-19","VNS","flow","CFS","Flow",1545.44
2023,"10-20","VNS","flow","CFS","Flow",1682.24
2023,"10-21","VNS","flow","CFS","Flow",2098.08
2023,"10-22","VNS","flow","CFS","Flow",2512.44
2023,"10-23","VNS","flow","CFS","Flow",2737.56
2023,"10-24","VNS","flow","CFS","Flow",2691.8
2023,"10-25","VNS","flow","CFS","Flow",2145.48
2023,"10-26","VNS","flow","CFS","Flow",1930.36
2023,"10-27","VNS","flow","CFS","Flow",2185.68
2023,"10-28","VNS","flow","CFS","Flow",2925.36
2023,"10-29","VNS","flow","CFS","Flow",3321.96
2023,"10-30","VNS","flow","CFS","Flow",3298.04
2023,"10-31","VNS","flow","CFS","Flow",2908.72
2023,"11-1","VNS","flow","CFS","Flow",2587.64
2023,"11-2","VNS","flow","CFS","Flow",2323.32
2023,"11-3","VNS","flow","CFS","Flow",2130.84
2023,"11-4","VNS","flow","CFS","Flow",2016.84
2023,"11-5","VNS","flow","CFS","Flow",1925.28
2023,"11-6","VNS","flow","CFS","Flow",1793.6
2023,"11-7","VNS","flow","CFS","Flow",1693.4
2023,"11-8","VNS","flow","CFS","Flow",1622.76
2023,"11-9","VNS","flow","CFS","Flow",1577.84
2023,"11-10","VNS","flow","CFS","Flow",1589.56
2023,"11-11","VNS","flow","CFS","Flow",1577.8
2023,"11-12","VNS","flow","CFS","Flow",1548.28
2023,"11-13","VNS","flow","CFS","Flow",1515.8
2023,"11-14","VNS","flow","CFS","Flow",1504.16
2023,"11-15","VNS","flow","CFS","Flow",1483.12
2023,"11-16","VNS","flow","CFS","Flow",1487.8
2023,"11-17","VNS","flow","CFS","Flow",1481.76
2023,"11-18","VNS","flow","CFS","Flow",1465.8
2023,"11-19","VNS","flow","CFS","Flow",1485.32
2023,"11-20","VNS","flow","CFS","Flow",1455.04
2023,"11-21","VNS","flow","CFS","Flow",1407.2
2023,"11-22","VNS","flow","CFS","Flow",1388.556
2023,"11-23","VNS","flow","CFS","Flow",1393.72
2023,"11-24","VNS","flow","CFS","Flow",1360.72
2023,"11-25","VNS","flow","CFS","Flow",1340.08
2023,"11-26","VNS","flow","CFS","Flow",1331.88
2023,"11-27","VNS","flow","CFS","Flow",1327.08
2023,"11-28","VNS","flow","CFS","Flow",1308.2
2023,"11-29","VNS","flow","CFS","Flow",1298.12
2023,"11-30","VNS","flow","CFS","Flow",1279.16
2023,"12-1","VNS","flow","CFS","Flow",1259.72
2023,"12-2","VNS","flow","CFS","Flow",1257.56
2023,"12-3","VNS","flow","CFS","Flow",1251.8
2023,"12-4","VNS","flow","CFS","Flow",1259.24
2023,"12-5","VNS","flow","CFS","Flow",1300.25
2023,"12-6","VNS","flow","CFS","Flow",1323.682
2023,"12-7","VNS","flow","CFS","Flow",1320.286
2023,"12-8","VNS","flow","CFS","Flow",1293.957
2023,"12-9","VNS","flow","CFS","Flow",1269.8
2023,"12-10","VNS","flow","CFS","Flow",1250.36
2023,"12-11","VNS","flow","CFS","Flow",1228.28
2023,"12-12","VNS","flow","CFS","Flow",1209.4
2023,"12-13","VNS","flow","CFS","Flow",1195.04
2023,"12-14","VNS","flow","CFS","Flow",1196.64
2023,"12-15","VNS","flow","CFS","Flow",1202.16
2023,"12-16","VNS","flow","CFS","Flow",1222.04
2023,"12-17","VNS","flow","CFS","Flow",1236.92
2023,"12-18","VNS","flow","CFS","Flow",1274.84
2023,"12-19","VNS","flow","CFS","Flow",1342.68
2023,"12-20","VNS","flow","CFS","Flow",1379.16
2023,"12-21","VNS","flow","CFS","Flow",1455.88
2023,"12-22","VNS","flow","CFS","Flow",1445.92
2023,"12-23","VNS","flow","CFS","Flow",1398.68
2023,"12-24","VNS","flow","CFS","Flow",1377
2023,"12-25","VNS","flow","CFS","Flow",1348.32
2023,"12-26","VNS","flow","CFS","Flow",1332.4
2023,"12-27","VNS","flow","CFS","Flow",1310.36
2023,"12-28","VNS","flow","CFS","Flow",1325.52
2023,"12-29","VNS","flow","CFS","Flow",1323.88
2023,"12-30","VNS","flow","CFS","Flow",1388.52
2023,"12-31","VNS","flow","CFS","Flow",1432.24
2024,"1-1","VNS","flow","CFS","Flow",1378.64
2024,"1-2","VNS","flow","CFS","Flow",1363.92
2024,"1-3","VNS","flow","CFS","Flow",1405.65
2024,"1-4","VNS","flow","CFS","Flow",1422.08
2024,"1-5","VNS","flow","CFS","Flow",1386.48
2024,"1-6","VNS","flow","CFS","Flow",1377.8
2024,"1-7","VNS","flow","CFS","Flow",1600.208
2024,"1-8","VNS","flow","CFS","Flow",1807.407
2024,"1-9","VNS","flow","CFS","Flow",1849.76
2024,"1-10","VNS","flow","CFS","Flow",1884.48
2024,"1-11","VNS","flow","CFS","Flow",1882.24
2024,"1-12","VNS","flow","CFS","Flow",1869.08
2024,"1-13","VNS","flow","CFS","Flow",1857.88
2024,"1-14","VNS","flow","CFS","Flow",1868.52
2024,"1-15","VNS","flow","CFS","Flow",1896.8
2024,"1-16","VNS","flow","CFS","Flow",1885.04
2024,"1-17","VNS","flow","CFS","Flow",1915.96
2024,"1-18","VNS","flow","CFS","Flow",1952.458
2024,"1-19","VNS","flow","CFS","Flow",1881.72
2024,"1-20","VNS","flow","CFS","Flow",1863.48
2024,"1-21","VNS","flow","CFS","Flow",1963.8
2024,"1-22","VNS","flow","CFS","Flow",2344.76
2024,"1-23","VNS","flow","CFS","Flow",3359.72
2024,"1-24","VNS","flow","CFS","Flow",4145.8
2024,"1-25","VNS","flow","CFS","Flow",3841.16
2024,"1-26","VNS","flow","CFS","Flow",3496.5
2024,"1-27","VNS","flow","CFS","Flow",3405.84
2024,"1-28","VNS","flow","CFS","Flow",3503.8
2024,"1-29","VNS","flow","CFS","Flow",3392.52
2024,"1-30","VNS","flow","CFS","Flow",3289.941
2024,"1-31","VNS","flow","CFS","Flow",3249.6
2024,"2-1","VNS","flow","CFS","Flow",3565.28
2024,"2-2","VNS","flow","CFS","Flow",4004.28
2024,"2-3","VNS","flow","CFS","Flow",4224.08
2024,"2-4","VNS","flow","CFS","Flow",4826.8
2024,"2-5","VNS","flow","CFS","Flow",5958.04
2024,"2-6","VNS","flow","CFS","Flow",6936.16
2024,"2-7","VNS","flow","CFS","Flow",6877.16
2024,"2-8","VNS","flow","CFS","Flow",7139.32
2024,"2-9","VNS","flow","CFS","Flow",7963.48
2024,"2-10","VNS","flow","CFS","Flow",7748.091
2024,"2-11","VNS","flow","CFS","Flow",7417.16
2024,"2-12","VNS","flow","CFS","Flow",7379.958
2024,"2-13","VNS","flow","CFS","Flow",7073.72
2024,"2-14","VNS","flow","CFS","Flow",6687.72
2024,"2-15","VNS","flow","CFS","Flow",6291.76
2024,"2-16","VNS","flow","CFS","Flow",6116.88
2024,"2-17","VNS","flow","CFS","Flow",6318.28
2024,"2-18","VNS","flow","CFS","Flow",6762.08
2024,"2-19","VNS","flow","CFS","Flow",7264.88
2024,"2-20","VNS","flow","CFS","Flow",8421.08
2024,"2-21","VNS","flow","CFS","Flow",9854.84
2024,"2-22","VNS","flow","CFS","Flow",9968.48
2024,"2-23","VNS","flow","CFS","Flow",9749.88
2024,"2-24","VNS","flow","CFS","Flow",9325.8
2024,"2-25","VNS","flow","CFS","Flow",8915.8
2024,"2-26","VNS","flow","CFS","Flow",8416.16
2024,"2-27","VNS","flow","CFS","Flow",7889.04
2024,"2-28","VNS","flow","CFS","Flow",8299.84
2024,"2-29","VNS","flow","CFS","Flow",7988.24
2024,"3-1","VNS","flow","CFS","Flow",7658.52
2024,"3-2","VNS","flow","CFS","Flow",7847.72
2024,"3-3","VNS","flow","CFS","Flow",8596.52
2024,"3-4","VNS","flow","CFS","Flow",9708.68
2024,"3-5","VNS","flow","CFS","Flow",10220.72
2024,"3-6","VNS","flow","CFS","Flow",10345.96
2024,"3-7","VNS","flow","CFS","Flow",10290.458
2024,"3-8","VNS","flow","CFS","Flow",9935.28
2024,"3-9","VNS","flow","CFS","Flow",9006.24
2024,"3-10","VNS","flow","CFS","Flow",7686.292
2024,"3-11","VNS","flow","CFS","Flow",6518.88
2024,"3-12","VNS","flow","CFS","Flow",5896.84
2024,"3-13","VNS","flow","CFS","Flow",5411.6
2024,"3-14","VNS","flow","CFS","Flow",5173.64
2024,"3-15","VNS","flow","CFS","Flow",4959.88
2024,"3-16","VNS","flow","CFS","Flow",4967.6
2024,"3-17","VNS","flow","CFS","Flow",5203.6
2024,"3-18","VNS","flow","CFS","Flow",5346.04
2024,"3-19","VNS","flow","CFS","Flow",5266.32
2024,"3-20","VNS","flow","CFS","Flow",5182.96
2024,"3-21","VNS","flow","CFS","Flow",5169.64
2024,"3-22","VNS","flow","CFS","Flow",5114.16
2024,"3-23","VNS","flow","CFS","Flow",5166.16
2024,"3-24","VNS","flow","CFS","Flow",5490.96
2024,"3-25","VNS","flow","CFS","Flow",5456
2024,"3-26","VNS","flow","CFS","Flow",5357.44
2024,"3-27","VNS","flow","CFS","Flow",5309.16
2024,"3-28","VNS","flow","CFS","Flow",5173.96
2024,"3-29","VNS","flow","CFS","Flow",5148.48
2024,"3-30","VNS","flow","CFS","Flow",5033.88
2024,"3-31","VNS","flow","CFS","Flow",4673.16
2024,"4-1","VNS","flow","CFS","Flow",4494.96
2024,"4-2","VNS","flow","CFS","Flow",4450.56
2024,"4-3","VNS","flow","CFS","Flow",4556.8
2024,"4-4","VNS","flow","CFS","Flow",4370.76
2024,"4-5","VNS","flow","CFS","Flow",4520.04
2024,"4-6","VNS","flow","CFS","Flow",4754.76
2024,"4-7","VNS","flow","CFS","Flow",4997.2
2024,"4-8","VNS","flow","CFS","Flow",4852.44
2024,"4-9","VNS","flow","CFS","Flow",4687.44
2024,"4-10","VNS","flow","CFS","Flow",4758
2024,"4-11","VNS","flow","CFS","Flow",4830.24
2024,"4-12","VNS","flow","CFS","Flow",4996.48
2024,"4-13","VNS","flow","CFS","Flow",5374.04
2024,"4-14","VNS","flow","CFS","Flow",5828.52
2024,"4-15","VNS","flow","CFS","Flow",5723.36
2024,"4-16","VNS","flow","CFS","Flow",5497.12
2024,"4-17","VNS","flow","CFS","Flow",5321.12
2024,"4-18","VNS","flow","CFS","Flow",5069.32
2024,"4-19","VNS","flow","CFS","Flow",5031.36
2024,"4-20","VNS","flow","CFS","Flow",5287.28
2024,"4-21","VNS","flow","CFS","Flow",5676.96
2024,"4-22","VNS","flow","CFS","Flow",5948.2
2024,"4-23","VNS","flow","CFS","Flow",5499.6
2024,"4-24","VNS","flow","CFS","Flow",4946.32
2024,"4-25","VNS","flow","CFS","Flow",4598.6
2024,"4-26","VNS","flow","CFS","Flow",4637.32
2024,"4-27","VNS","flow","CFS","Flow",4950.375
2024,"4-28","VNS","flow","CFS","Flow",4997.6
2024,"4-29","VNS","flow","CFS","Flow",4858.44
2024,"4-30","VNS","flow","CFS","Flow",4754.2
2024,"5-1","VNS","flow","CFS","Flow",4769.52
2024,"5-2","VNS","flow","CFS","Flow",4623.44
2024,"5-3","VNS","flow","CFS","Flow",4419.88
2024,"5-4","VNS","flow","CFS","Flow",4219.2
2024,"5-5","VNS","flow","CFS","Flow",4376.72
2024,"5-6","VNS","flow","CFS","Flow",4265.92
2024,"5-7","VNS","flow","CFS","Flow",4234.28
2024,"5-8","VNS","flow","CFS","Flow",4350.36
2024,"5-9","VNS","flow","CFS","Flow",4503.48
2024,"5-10","VNS","flow","CFS","Flow",4671.8
